term,module,definition
Gradient Descent and Backpropagation,Module 12 - Gradient Descent and Backpropagation.docx,"This image illustrates the concept of an artificial neuron and draws a comparison to its biological counterpart. Let's break down each part While the artificial neuron is a simplified model, it captures some essential aspects of biological neurons Explanation Sigmoid Function Inputs, Weights, and Bias Weighted Sum Activation Output The code will print the calculated weighted sum and the output of the neuron after applying the sigmoid activation. For example This simple example demonstrates the basic computation within an artificial neuron In the code In the code There are many different activation functions, each with its own characteristics. Here are a few common ones The output of the activation function determines the neuron's activation level. Here's how to interpret the output values In the previous Python example, we used the sigmoid activation function. If the output is Here's a breakdown of the similarities and differences Here's a breakdown of the key components and concepts in reinforcement learning The agent interacts with the environment in a loop Here's a more detailed breakdown In summary Here's why MSE is a common choice for the cost function, especially in regression problems The Formula The MSE formula is where In the code, this is calculated within the cost_function The update rule for gradient descent with momentum is where In PyTorch, you can easily add momentum to optimizers like SGD Here's a classic example Consider the function If we try to find the limit as x approaches 2 by directly substituting x = 2, we get In this case, we can factor the numerator and simplify the expression Now, we can find the limit There are several other indeterminate forms, including Therefore, we say that the limit of y = x² as x approaches 2 is 4. Mathematically, we write this as Differentiation is a fundamental concept in calculus that deals with finding the instantaneous rate of change of a function. Think of it like this Differentiation has numerous applications in various fields If you have a function y = f(x), its derivative can be denoted in several ways Let's differentiate y = x² In essence Let's break down these calculus concepts using the example of y = x² Connecting it all If y = xⁿ (where n is any real number), then the derivative dy/dx is Apply the formula We'll use the Mean Squared Error (MSE) as our cost function 1. Partial Derivative of J with respect to w 2. Partial Derivative of J with respect to b Now that we have the partial derivatives, we can update w and b using gradient descent In essence Backpropagation is the backbone of neural network training. It's the algorithm that allows networks to learn from data and improve their accuracy over time. Here's how it works Let's break it down Ideally, the final output should be very close to the actual XOR outputs However, due to the simplicity of the network and the limited training, the output might not be perfect. You might see values like Important Notes Explanation Data Preparation RNN Class Training Prediction Output The code will print the loss during training and the predicted words for the given seed text. For example N-gams are relevant and can be applied to the training data in the word prediction example. Here's how How n-grams apply to the training data Using Higher-Order n-grams You could modify the code to use higher-order n-grams (trigrams, 4-grams, etc.) by changing how the input-target pairs are generated. For example, to use trigrams Benefits of using n-grams Limitations In summary PyTorch has become incredibly popular in the machine learning community. Here's a breakdown of its importance and why it's widely used Here's why you'd choose PyTorch over vanilla Python for these tasks In essence Explanation Define the Neural Network Generate Sample Data Instantiate Components Training Loop Backward Pass and Optimization Key PyTorch Concepts It's challenging to give a precise, human-interpretable explanation of what's happening in each hidden layer of an RNN, especially as the network gets more complex. However, we can provide some general insights based on how RNNs and word prediction work In the provided code, the RNN has a single hidden layer with 50 neurons. Here's a possible interpretation of what might be happening With two hidden layers, the RNN can potentially learn more complex and nuanced patterns in the sequence. Here's how the interpretation might expand Hierarchical Feature Extraction In the context of ""the quick brown fox..."", the two layers might learn Here's a breakdown of where activation functions are applied during training In summary Here's why In summary Cross-entropy calculates the average number of bits needed to represent an event from the true distribution using the predicted distribution. The formula for binary cross-entropy is Cross-entropy is often used in conjunction with activation functions like Adam calculates individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. Here's a breakdown The update rule for Adam is quite involved, but here's a simplified version where In PyTorch, you can use the optim.Adam optimizer"
Gradient Properties,Module 12 - Gradient Descent and Backpropagation.docx,"It has favorable gradient properties for training neural networks, leading to efficient learning."
Gradient of MSE,Module 12 - Gradient Descent and Backpropagation.docx,"To minimize MSE, we need to find where its derivative is zero. This is where the concept of the gradient comes in. The gradient is a vector that points in the direction of the greatest rate of increase of the function. In our case, it points in the direction of the steepest increase of the MSE."
Grammatical roles,Module 12 - Gradient Descent and Backpropagation.docx,"Whether a word is a noun, verb, adjective, etc."
Healthcare,Module 05 - EDA.docx,"A healthcare professional might use storytelling to communicate the effectiveness of a new treatment to patients, using data to show how it has improved outcomes for others."
Healthcare,Module 12 - Gradient Descent and Backpropagation.docx,"Personalized treatment plans, drug discovery"
Heatmaps,Module 05 - EDA.docx,To visualize the correlation matrix between multiple variables.
Hidden Layer,Module 12 - Gradient Descent and Backpropagation.docx,The neurons in the hidden layer learn to combine the information from the embedding layer and the previous hidden state. They might be detecting patterns like:
High Input,Module 12 - Basic Artificial Neural Net (ANN).docx,"If the weighted sum is a large positive value, the sigmoid function outputs a value close to 1, indicating high activation."
High Throughput,Module 12 - Basic Artificial Neural Net (ANN).docx,"They offer very high throughput for matrix operations, leading to faster training and inference of deep learning models."
Histograms,Module 05 - EDA.docx,To visualize the distribution of a single variable.
Hodrick-Prescott (HP) Filter,Module 13 - Pandas Time Series Complete.docx,A mathematical technique used to separate the trend from the cyclical component in time series data. It helps to identify the underlying long-term direction of the data. The document provides a clear explanation of this filter and its applications.
Holt-Winters,Module 13 - Statsmodels Time Series Complete.docx,"EWMA has just one smoothing factor and doesn't account for trend, seasonality, etc. HW offers three smoothing factors for level, trend, and season and can adjust for divisions per cycle (L). Offers Single, Double (Holt and Trend), and Triple (Holt-Winters and Seasonality) Exponential Smoothing."
Horizontal Asymptote,Module 12 - Gradient Descent and Backpropagation.docx,"A horizontal asymptote occurs where the function approaches a constant value as x approaches infinity (or negative infinity). For example, the function y = (2x + 1) / x has a horizontal asymptote at y = 2."
How it works,Module 09 - Feature Selection.docx,"Elastic Net adds both the L1 (Lasso) and L2 (Ridge) penalties to the loss function during model training. The L1 penalty encourages sparsity (forcing some coefficients to zero), while the L2 penalty encourages grouping (keeping correlated features together)."
Hypothesis Testing,Module 03 - Distributions.docx,To test hypotheses about the variance and standard deviation of a normal distribution.
Hypothesis Testing,Module 04 - Hypothesis Testing.docx,"The document ""Module 04 Hypothesis Testing.ipynb - Colab.pdf"" provides a comprehensive overview of hypothesis testing, a fundamental concept in inferential statistics. It covers a wide range of topics, from the historical development of statistical thinking to the practical application of various hypothesis tests. Bernoulli's Fallacy Highlights the distinction between sampling probabilities (aleatory probabilities) and inferential probabilities (epistemic probabilities). Emphasizes the importance of considering background information and assumptions in probabilistic inference. Discusses the historical context of statistics and its use in political agendas, including eugenics. Historical Figures and Concepts Hypothesis Testing The document also includes various examples and code snippets to illustrate these concepts and their applications in data analysis and decision-making.  "
Hypothesis Testing,Module 04 - Hypothesis Testing.docx,Here's a detailed outline and summary of the key elements and terms
Hypothesis Testing,Module 01 - Introduction.docx,A statistical method used to make inferences about a population based on sample data.
Hypothesis and AB Testing,Module 04 - Hypothesis and AB Testing.docx,"Hypothesis Testing A/B testing is a randomized experimentation process wherein two or more versions of a variable are shown to different segments of website visitors at the same time to determine which version drives business metrics best. Population is the entire group of individuals or objects that a study is interested in. Sample is a subset of the population that is selected for study. Sample mean is the average of the values in a sample. Sample variability is the degree to which the values in a sample differ from each other. Null hypothesis is a statement that there is no difference between two groups or that there is no relationship between two variables. Confidence interval is a range of values that is likely to contain the true population parameter. Type I error is the rejection of a true null hypothesis. Type II error is the failure to reject a false null hypothesis. P-value is the probability of obtaining a test statistic as extreme as or more extreme than the one observed, assuming that the null hypothesis is true. Statistical significance is a measure of how likely it is that an observed effect is due to chance. Statistical power is the probability that a test will correctly reject a false null hypothesis. Minimum detectable effect is the smallest effect size that a study is designed to detect. Practical significance is a measure of whether an effect is large enough to be meaningful in the real world. Probability Density Function (PDF) The PDF is a function that describes the probability of a random variable taking on a given value. Cumulative Density Function (CDF) The CDF is a function that describes the probability that a random variable will take on a value less than or equal to a given value. Percent Point Function (PPF) The PPF is the inverse of the CDF. It gives the value of the random variable for which the CDF has a given value. Parametric and Non-Parametric Tests Parametric tests are statistical tests that make assumptions about the distribution of the data. Non-parametric tests are statistical tests that do not make assumptions about the distribution of the data. t-Test Student's t-test is a statistical test used to determine if there is a significant difference between the means of two groups. One-sample t-test is used to test whether the mean of a single sample is equal to a specified value. Independent two-sample t-test is used to test whether the means of two independent samples are equal. z-Test A statistical test used to determine if there is a significant difference between the means of two groups when the variances are known. Chi-Square Test A statistical test used to determine if there is a significant association between two categorical variables. ANOVA (Analysis of Variance) A statistical test used to compare the means of two or more groups. Kruskal-Wallis Test A non-parametric test used to compare the distributions of two or more groups. A/A Testing A type of A/B testing where both groups are given the same treatment to validate the test setup. AB Testing A statistical method used to compare two or more versions of a webpage, app, or other product to see which one performs better. Overall Evaluation Criterion (OEC) A quantitative measure of the experiment's objective. Gaurdrail Metrics Business metrics designed to indirectly measure business value and provide alerts about any potentially misleading or erroneous results and analysis. Randomization Unit A who or what randomly assigned to a group. Data Leakage (Interference) The behavior of the control group is influenced by the treatment given to the test group. SUTVA Assumptions The Stable Unit Treatment Value Assumption (SUTVA) is a key assumption that is usually made in causal inference. Minimum Detectable Effect (MDE) The smallest improvement you are willing to be able to detect. Practical, or Substantive, Significance The importance, or meaningfulness, of a statistically significant result. Significance Level The probability of rejecting a null hypothesis when it is true. Statistical Power The probability of correctly identifying the effect when there is one. Effect Size A quantitative measure of the magnitude of a phenomenon. Pooled Variance A method for estimating the variance of a population when the variances of different samples from that population are assumed to be equal. Conversion Rates The percentage of users who take a desired action. Lift The percentage change in a metric between a test group and a control group. Discrete Metrics Metrics that can only take on a finite number of values. Continuous Metrics Metrics that can take on any value within a given range. Kolmogorov-Smirnov Test for Normality A statistical test used to determine if a dataset follows a normal distribution. Chi-Square Test for Independence A statistical test used to determine if there is a significant association between two categorical variables. Sample Ratio Mismatch (SRM) A phenomenon that can occur in A/B testing when the ratio of users in the control group to users in the treatment group is not what was intended. Fisher's Exact Test A statistical test used to determine if there is a significant association between two categorical variables when the sample size is small. Welch's t-test A statistical test used to compare the means of two groups when the variances of the two groups are not assumed to be equal. OOP (Object-Oriented Programming) A programming paradigm that is based on the concept of objects, which can contain data and code. Python Builtins Functions and constants that are available in Python without the need to import any modules. "
Hypothesis and AB Testing,Module 04 - Hypothesis and AB Testing.docx,Here are brief definitions and explanations for the terms and concepts presented in the document You're absolutely correct! I apologize for missing those definitions in my previous response. Here are the definitions and explanations for the terms and concepts you pointed out
Hypothesis testing,Module 09 - Feature Selection.docx,Simulate data under a null hypothesis to determine the p-value and assess statistical significance.
IID,Module 03 - Distributions.docx,Independent and Identically Distributed
Identify n,Module 12 - Gradient Descent and Backpropagation.docx,"In our example, y = x², the exponent n is 2."
Identifying Contributions,Module 12 - Basic Artificial Neural Net (ANN).docx,Each team analyzes how their work contributed to the error.
Imbalanced Binary Classification,Module 11 - Precision Recall.docx,"A classification problem where one class (the majority class) has significantly more instances than the other class (the minority class). In the context of the document, it refers to credit card fraud detection, where fraudulent transactions are much rarer than legitimate ones."
Imperative Programming,Module 12 - Gradient Descent and Backpropagation.docx,"PyTorch uses an imperative programming style, which means you can execute code and see the results immediately. This makes debugging and experimentation much easier compared to frameworks with static computation graphs."
Importance of Statistics,Module 02 - Data.docx,"Statistics is used to summarize data, make informed decisions, answer research questions, recognize patterns, and evaluate the effectiveness of interventions."
In our example,Module 12 - Gradient Descent and Backpropagation.docx,"As x gets closer and closer to 2, y = x² gets closer and closer to 4. We write this as: lim (x → 2) x² = 4 Imagine drawing a line that cuts through the curve of y = x² at two points, say x = 1 and x = 3. This is a secant line. Imagine zooming in really close to the curve y = x² at the point x = 2. The tangent line at that point would just graze the curve, having the same slope as the curve at x = 2. The derivative of y = x² is dy/dx = 2x. This means that at any point x, the slope of the tangent line to the curve is 2x. For example, at x = 2, the slope of the tangent line is 2 * 2 = 4."
In simpler terms,Module 03 - Miscellaneous.docx,"It's mistakenly thinking that just because a piece of evidence is more likely to be found if someone is guilty, finding that evidence automatically means they are highly likely to be guilty."
In summary,Module 12 - Gradient Descent and Backpropagation.docx,"PyTorch's combination of ease of use, flexibility, GPU support, a rich ecosystem, and a strong community has made it a leading deep learning framework for both research and production. It empowers users to build and train complex models efficiently while providing the flexibility to explore new frontiers in AI."
Increased Capacity,Module 12 - Gradient Descent and Backpropagation.docx,Two hidden layers give the network more capacity to learn and store information. This can be beneficial for longer sequences or more complex language tasks.
Independence of Observations,Module 08 - Assumptions.docx,The observations in the dataset should be independent of each other.
Independent Two-Sample t-Test,Module 04 - The Tests.docx,To test if there is a significant difference between the means of two independent groups.
Industry,Module 12 - Gradient Descent and Backpropagation.docx,"Companies like Facebook, Tesla, and Uber utilize PyTorch for various applications, from natural language processing and computer vision to self-driving cars and robotics."
Inference,Module 02 - Descriptive Statistics.docx,The process of drawing conclusions about a population based on a sample of data.
Inference,Module 02 - Data.docx,The process of drawing conclusions about a population based on a sample of data. It distinguishes between a parameter (characteristic of a population) and a statistic (characteristic of a sample).
Initialization,Module 12 - Gradient Descent and Backpropagation.docx,Start with initial guesses for theta0 and theta1.
Input (X),Module 12 - Basic Artificial Neural Net (ANN).docx,The input data is passed as an argument to the forward method. This data represents the features of the input samples.
Input-Target Pairs,Module 12 - Gradient Descent and Backpropagation.docx,"The create_training_examples function generates pairs of (input word, target word). This is essentially creating bigrams from the training sentences. For example, the sentence ""the quick brown fox"" generates the bigrams (""the"", ""quick""), (""quick"", ""brown""), (""brown"", ""fox"")."
"Inputs (x₁, x₂, ..., xₙ)",Module 12 - Gradient Descent and Backpropagation.docx,"These are the input values to the neuron, analogous to the signals received by the dendrites of a biological neuron. Each input has an associated weight (w₁, w₂, ..., wₙ)."
Inputs and Weights,Module 12 - Gradient Descent and Backpropagation.docx,"Similar to how dendrites receive signals with varying strengths, the artificial neuron receives inputs with associated weights."
Interpretability,Module 12 - Gradient Descent and Backpropagation.docx,"MSE is easy to understand. It directly measures the average squared difference between the predicted and actual values, giving a clear indication of how well the model is fitting the data."
Interpretability,Module 12 - Basic Artificial Neural Net (ANN).docx,The output can be interpreted as an activation level or a probability.
Interpretation,"Module 08 - R-Squared, R, r, TSS, ESS, and RSS.docx","While R-squared and related measures are valuable tools, it's important to interpret them in the context of the specific data and research question. A high R-squared doesn't necessarily mean that the model is a good one, and a low R-squared doesn't necessarily mean that the model is bad."
"Intersections, Unions, and Conditional Probability",Module 03 - Probability.docx,Concepts for calculating probabilities involving multiple events.
Introduction,Module 01 - Introduction.docx, 1. Introduction 2. A Brief History 3. Data 
Introduction,Module 03 - Probability.docx,The Monty Hall Problem and Sample Space
Intuition,Module 12 - Gradient Descent and Backpropagation.docx,"A lower cross-entropy value indicates a higher similarity between the predicted and true distributions, meaning the model is making better predictions."
Inverse Gaussian,Module 10 - GLMs.docx,Used for continuous positive data with a specific type of skewness.
Irreducible Error,Module 11 - Bias Variance Tradeoff.docx,"This is the inherent uncertainty or noise in the data itself, which cannot be eliminated regardless of the model used."
Iterative Process,Module 12 - Gradient Descent and Backpropagation.docx,Gradient descent is an iterative algorithm that repeatedly updates the model's parameters to find the values that minimize the cost function.
Jacob Bernoulli (1655-1705),Module 04 - Hypothesis Testing.docx,Introduced the Law of Large Numbers and used urn drawing examples to illustrate probability concepts.
Jarque-Bera,Module 08 - Coefficients and Metrics.docx,Another test for skewness and kurtosis
John Arbuthnot (1667-1735),Module 04 - Hypothesis Testing.docx,Investigated the sex ratio at birth and argued for divine providence based on observed patterns.
K-fold Cross-Validation,Module 11 - Cross Validation.docx,"A specific cross-validation technique where data is divided into k equal-sized folds. The model is trained on k-1 folds and tested on the remaining fold. This process is repeated k times, with each fold used as the test set once."
Karl Pearson (1857-1936),Module 04 - Hypothesis Testing.docx,Developed Pearson's Correlation Coefficient (r) and contributed to the concept of the p-value.
Key takeaway,Module 03 - Miscellaneous.docx,"The Prosecutor's Fallacy highlights the importance of considering all relevant evidence and probabilities, including prior probabilities, when assessing guilt or innocence."
Kurtosis,Module 08 - Coefficients and Metrics.docx,A measure of the shape of the data
Labels,Module 12 - Basic Artificial Neural Net (ANN).docx,y contains the corresponding target output or labels for each sample in X. These labels represent the desired outcome or prediction that the neural network should learn to produce.
Lagged Value,Module 13 - Statsmodels Time Series Complete.docx,A lagged value is simply a previous value in the series.
Laplace’s Saturn Data with residuals - https,Module 06 - Astronomy and Statistics.docx,//www.britannica.com/biography/Pierre-Simon-marquis-de-Laplace
Large Sample Size,Module 08 - Assumptions.docx,Logistic regression generally requires a larger sample size compared to linear regression for reliable results.
Large Steps,Module 12 - Basic Artificial Neural Net (ANN).docx,"A large learning rate means you take big steps, which can be faster but might cause you to overshoot the bottom and bounce around."
Law of Large Numbers,Module 01 - Introduction.docx,"A statistical principle stating that as the number of trials increases, the sample average converges to the expected value."
Leaf/Terminal Node,Module 11  - Trees.docx,A node with no children or sub-nodes.
Learn,Module 12 - Gradient Descent and Backpropagation.docx,The agent updates its policy and/or value function based on the reward received.
Learn Anything,Module 01 - Introduction.docx,"This section emphasizes the importance of continuous learning in data science, including consuming content, seeking mentorship, practicing skills, and teaching others."
Learning,Module 12 - Basic Artificial Neural Net (ANN).docx,"The weights are the primary parameters that the neural network learns during training. By adjusting these weights through backpropagation and gradient descent, the network learns to map the input features to the desired output."
Learning / Synaptic Plasticity,Module 12 - Gradient Descent and Backpropagation.docx,"Both types of neurons exhibit a form of learning. In biological neurons, learning happens through changes in the strength of synapses (synaptic plasticity). In artificial neurons, learning happens through adjustments of weights and biases during training."
Learning Rate,Module 12 - Basic Artificial Neural Net (ANN).docx,The learning rate controls the size of the steps taken during the parameter updates.
Learning Word Relationships,Module 12 - Gradient Descent and Backpropagation.docx,"The RNN learns the relationships between these bigrams during training. It learns to predict the next word (""target"") given the current word (""input""). This is a form of n-gram language modeling where the model learns the probability of a word given its preceding word(s)."
Learning rate schedules,Module 12 - Basic Artificial Neural Net (ANN).docx,Gradually decrease the learning rate over time as the training progresses.
Limited Context,Module 12 - Gradient Descent and Backpropagation.docx,N-grams only capture a limited local context. They don't capture long-range dependencies in language.
Limited Cores,Module 12 - Basic Artificial Neural Net (ANN).docx,"CPUs have a relatively small number of cores (processing units), typically ranging from 4 to 64 in consumer-grade processors."
Limits,Module 12 - Gradient Descent and Backpropagation.docx,Approaching the Value Differentiation relies on the concept of limits. A limit describes the behavior of a function as its input approaches a certain value. Derivatives are found by taking the limit of the slope of secant lines as the two points on the secant line get closer and closer together.
Linear,Module 10 - GLMs.docx,η(μ)=μ.
Linear Regression,Module 01 - Introduction.docx,A type of regression model that assumes a linear relationship between the variables.
Linear Regression,Module 08 - Linear Regression.docx,"Linear Regression Concepts Correlation vs Simple Linear Regression Correlation analysis shows the strength and direction of the linear relationship between two variables. Simple linear regression analysis estimates parameters in a linear equation to predict values of one variable from another. The Dependent Variable In linear regression, the dependent variable (y) is continuous and numerical. It's the variable being predicted. Linear Regression A linear approach to modeling the relationship between a scalar response (dependent variable) and one or more explanatory variables (independent variables). It's used to predict a continuous outcome based on one or more predictor variables. Scalar A physical quantity that is completely described by its magnitude (e.g., volume, density, speed, energy, mass, and time). It's a single number, as opposed to a vector, which has both magnitude and direction. Simple Linear Regression A type of linear regression where there's only one explanatory (independent) variable used to predict a single scalar response (dependent variable). Line of Best Fit A straight line drawn through a scatter plot of data points that best represents the relationship between those points. It's often determined using the least squares method. Residuals The vertical distance between a data point and the regression line (line of best fit). It represents the error in the prediction made by the regression model for that specific data point. Mean Squared Error (MSE) A measure of the average squared difference between the predicted values and the actual values in a regression model. It's commonly used to evaluate the performance of a regression model. Linear Regression with Scikit-learn Scikit-learn is a Python library that provides tools for machine learning, including linear regression. It can be used to build and train linear regression models. Assumptions of Linear Regression Linear regression models have several assumptions that should be met for the model to be reliable, including linearity, no multicollinearity, normality of residuals, homoscedasticity, and independence of residuals. Multiple Linear Regression A type of linear regression where there are two or more explanatory (independent) variables used to predict a single scalar response (dependent variable). Confidence Intervals A range of values within which it is estimated that a population parameter (like a regression coefficient) lies, with a certain level of confidence (e.g., 95%). It's used to express the uncertainty associated with an estimate. Types of Regression There are various types of regression analysis beyond simple and multiple linear regression, including polynomial regression, support vector regression, decision tree regression, and random forest regression, each with its own approach to modeling relationships between variables. "
Linearity of Independent Variables and Log Odds,Module 08 - Assumptions.docx,There should be a linear relationship between the independent variables and the log odds of the dependent variable.
Linearizing Relationships,Module 10 - Logarithms.docx,"Many natural phenomena exhibit exponential growth or decay. Logarithms can ""straighten out"" these curves, converting them into linear relationships. This simplification allows us to apply familiar linear regression techniques and gain deeper insights into the data."
Link Function,Module 10 - Logarithms.docx,A function that connects the linear predictor in a GLM to the expected value of the response variable. Examples include the identity link (for simple linear regression) and the logit link (for logistic regression).
Link Functions,Module 10 - Link Functions.docx,"Generalized Linear Models (GLMs) extend the traditional linear regression model to accommodate a wider range of response variables beyond continuous data. A key component of a GLM is the link function, which establishes a relationship between the linear predictor (a linear combination of predictor variables) and the expected value of the response variable. It's important to note that the link function is a crucial part of the GLM specification. Choosing an inappropriate link function can lead to biased estimates and incorrect inferences. "
Link Functions,Module 10 - Link Functions.docx,Here's a list of common link functions and their purposes 1. Identity Link 2. Log Link 3. Logit Link 4. Probit Link 5. Complementary Log-Log Link 6. Inverse Link 7. Square Root Link Choosing the Right Link Function The choice of link function depends on
Link Functions,Module 10 - GLMs.docx,A link function is a function that connects the linear predictor in a GLM to the expected value of the response variable. Examples include the identity link (for simple linear regression) and the logit link (for logistic regression).
Local Minima,Module 12 - Gradient Descent and Backpropagation.docx,"Gradient descent can sometimes get stuck in local minima, which are points that are minimum within a small region but not the global minimum of the cost function."
Local Minimum,Module 10 - GLMs.docx,A point in a function where the function has the lowest value in its immediate neighborhood.
Local Minimum,Module 10 - Logarithms.docx,A point in a function where the function has the lowest value in its immediate neighborhood.
Local Regression (LOESS),Module 10 - GLMs.docx,"A method that fits a separate regression model to localized subsets of the data, creating a smooth curve by combining these local models."
Local Regression (LOESS),Module 10 - Logarithms.docx,"A method that fits a separate regression model to localized subsets of the data, creating a smooth curve by combining these local models."
Local vs. Global Minima,Module 12 - Gradient Descent and Backpropagation.docx,"For complex cost functions, there might be multiple local minima. Limits help us analyze the behavior of the function around these points and determine if we've reached a true global minimum."
Log-Liklihood,Module 08 - Coefficients and Metrics.docx,"can be used to compare the fit of different coefficients, the higher value is better"
Log-likelihood,Module 10 - GLM vs OLS.docx,The probability of observing the data given a set of model parameters.
Logarithms,Module 10 - Logarithms.docx,"Unveiling the Power of Exponents At their core, logarithms are the inverse of exponentials. They help us answer the question, ""What exponent is needed to raise a certain base to get a specific value?"" For instance, the logarithm base 10 of 1000 is 3, because 10 raised to the power of 3 equals 1000. Why Logarithms Matter Real-World Applications In summary, logarithms are powerful tools that simplify complex calculations, reveal hidden patterns in data, and enable comparisons across vast scales. Their versatility makes them indispensable in a wide range of fields, from finance and computer science to music theory and psychology. Fundamentals The inverse of exponentials. They're used to express large numbers, scale data, or linearize relationships. For example, 103=1000 and log10​(1000)=3. Regression and Modeling Other Important Concepts  "
Logistic,Module 10 - GLMs.docx,η(μ)=log(μ/(1−μ)).
Logistic Regression,Module 08 - Logistic Regression.docx,"A glossary of terms and concepts from the document you provided is presented below. Logistic Regression A statistical model that models the probability of an event taking place by having the log-odds for the event be a linear combination of one or more independent variables. Sigmoid A sigmoid curve is a common S-shaped curve that is often used in statistics to represent cumulative distribution functions. Sigmoid curves are bound by 0 and 1 on the y-axis and have a probability of 0.5 at the midpoint, or x=0. Threshold In logistic regression, a classification threshold, also called the decision threshold, is the value logistic regression uses to map a logistic regression value to a binary category. A logistic regression model that returns 0.9995 for a particular email message is predicting that it is very likely to be spam. Probability The probability is the number of observed outcomes divided by the possible outcomes. Odds The odds are what happened divided by what didn't happen. We take the odds to make the value continuous. Log Odds The log of the odds is used to get a range from negative infinity to infinity. We take the odds ratio to get a parameter estimate and take the log of that ratio to make the variable range from negative infinity to infinity and be symmetric around 0 instead of 1. Euler's Number Euler's number is often used as the base of an exponential. The derivative of the function y=ex is equal to itself. Euler's number is often used in machine learning. Logistic Function Logistic Model In statistics, the logistic model (or logit model) is a statistical model that models the probability of an event taking place by having the log-odds for the event be a linear combination of one or more independent variables. Logit A Logit function, the inverse of the logistic sigmoid, also known as the log-odds function, is a function that represents probability values from 0 to 1, and negative infinity to infinity. Sigmoid vs. Logit The inverse of the logit curve is the inverse-logit or sigmoid function. The sigmoid function transforms the numbers (-∞ to +∞) back to values between 0 and 1. "
Logits as output,Module 12 - Gradient Descent and Backpropagation.docx,The output from the model contains the raw logits (unnormalized scores) for each word in the vocabulary. These logits are sufficient for determining the most likely next word.
Loss Calculation,Module 12 - Gradient Descent and Backpropagation.docx,"loss = criterion(outputs, y) computes the loss between predictions and targets."
Loss Calculation,Module 12 - Basic Artificial Neural Net (ANN).docx,The criterion (loss function) is used to calculate the error between the predictions and the true labels.
Loss Function,Module 12 - Basic Artificial Neural Net (ANN).docx,A loss function measures the difference between the network's predictions and the actual target values. It quantifies the error that the network is making.
Loss Stabilization,Module 12 - Gradient Descent and Backpropagation.docx,The loss value stops decreasing significantly with each iteration and stabilizes around a certain value.
Low Input,Module 12 - Basic Artificial Neural Net (ANN).docx,"If the weighted sum is a large negative value, the sigmoid function outputs a value close to 0, indicating low activation."
MAR (Missing at Random),Module 02 - Miscellaneous.docx,The probability of missingness depends on observed variables but not on the missing values themselves. The missingness can be explained by other information in the data.
MCAR (Missing Completely at Random),Module 02 - Miscellaneous.docx,"The probability of data being missing is unrelated to any observed or unobserved variables. Essentially, missingness occurs entirely by chance."
MNAR (Missing Not at Random),Module 02 - Miscellaneous.docx,"The probability of missingness depends on the missing values themselves. This is the most complex type of missing data, as the missingness is related to the information we don't have."
MSE as the Cost Function,Module 12 - Gradient Descent and Backpropagation.docx,"As discussed earlier, MSE measures the average squared difference between predicted and actual values. Our goal is to find the values of our model parameters (like theta0 and theta1 in the previous example) that minimize this MSE."
Machine Learning,Module 12 - Gradient Descent and Backpropagation.docx,Training models using gradient descent.
Machine Learning,Module 03 - Distributions.docx,"Used in various machine learning algorithms, such as Bayesian networks and variational autoencoders."
Make inferences,Module 09 - Feature Selection.docx,"Based on the estimated sampling distribution, you can make inferences about the population parameter, such as calculating confidence intervals or p-values."
Makes data more accessible,Module 05 - EDA.docx,Raw data can be overwhelming and difficult to understand for many people. Storytelling helps make data more accessible and understandable by presenting it in a clear and engaging way.
Market Indices,Module 13 - Pandas Time Series Complete.docx,"These are indicators that track the performance of a group of stocks, bonds, or other assets. Common examples include the Dow Jones Industrial Average (DOW), S&amp;P 500, and NASDAQ Composite. They provide insights into overall market trends."
Markov Decision Process (MDP),Module 12 - Gradient Descent and Backpropagation.docx,A mathematical framework for modeling sequential decision-making problems in reinforcement learning.
Massive Cores,Module 12 - Basic Artificial Neural Net (ANN).docx,"GPUs contain thousands of cores, allowing them to perform massive parallel computations."
Mathematical Form,Module 10 - Link Functions.docx,"g(μ) = μ g(μ) = log(μ) g(μ) = log(μ / (1 - μ)) g(μ) = Φ⁻¹(μ), where Φ⁻¹ is the inverse of the standard normal CDF. g(μ) = log(-log(1 - μ)) g(μ) = 1 / μ g(μ) = √μ"
Matrix Multiplication Focus,Module 12 - Basic Artificial Neural Net (ANN).docx,"TPUs are optimized for matrix multiplication, a core operation in deep learning algorithms."
Maximum Likelihood Estimation (MLE),Module 10 - Logarithms.docx,A method for estimating unknown parameters (like the probability of heads in a coin flip) by finding the parameter values that make the observed data most likely.
Maximum Likelihood Estimation (MLE),Module 10 - GLMs.docx,A method for estimating unknown parameters (like the probability of heads in a coin flip) by finding the parameter values that make the observed data most likely.
Measures of Center,Module 02 - Descriptive Statistics.docx,"Mean, median, and mode are used to describe the central tendency of a dataset."
Measures of Shape,Module 02 - Descriptive Statistics.docx,Skewness and kurtosis are used to describe the shape of a distribution.
Measures of Spread,Module 02 - Descriptive Statistics.docx,"Variance, standard deviation, and quartiles are used to describe the spread or dispersion of data points around the mean."
Memorylessness,Module 03 - Distributions.docx,"For certain parameter values, the Gamma distribution exhibits a ""memoryless"" property, similar to the exponential distribution. This means that the probability of an event occurring in the future is independent of how much time has already elapsed."
Meteorology,Module 03 - Distributions.docx,Modeling rainfall amounts or the time between rainfall events.
Method,Module 08 - Coefficients and Metrics.docx,how the parameters (coefficients) were calculated
